"Laps","Time","Cumulative Time","Distance","Avg Speed","Avg HR","Max HR","Total Ascent","Total Descent","Calories","Avg Temperature","Max Speed","label_flow","label_grit","Moving Time","Avg Moving Speed"
"1","16:05","16:05","4.14","15.4","117","142","18","48","132","21.0","26.1","1.7","1.3","12:49","19.4"
"Summary","16:05","16:05","4.14","15.4","117","142","18","48","132","21.0","26.1","1.7","1.3","12:49","19.4"
